Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0674 +/- 0.0293,0.1843 +/- 0.0412,0.0894 +/- 0.0473,0.1022 +/- 0.0457,0.1332 +/- 0.037,0.101 +/- 0.0448
MAR,0.2,0.0693 +/- 0.0191,0.1746 +/- 0.0135,0.0934 +/- 0.017,0.1099 +/- 0.0134,0.1588 +/- 0.0199,0.114 +/- 0.0174
MAR,0.3,0.0699 +/- 0.0213,0.1794 +/- 0.0215,0.1027 +/- 0.0133,0.1128 +/- 0.0079,0.142 +/- 0.0116,0.1182 +/- 0.0175
MAR,0.4,0.05 +/- 0.0115,0.1918 +/- 0.0145,0.0809 +/- 0.017,0.097 +/- 0.0146,0.1299 +/- 0.0181,0.0977 +/- 0.013
MAR,0.5,0.087 +/- 0.0213,0.1822 +/- 0.0064,0.1091 +/- 0.0247,0.1186 +/- 0.0234,0.1654 +/- 0.0173,0.117 +/- 0.0136
MCAR,0.1,0.0561 +/- 0.0139,0.1695 +/- 0.0135,0.0667 +/- 0.0115,0.0844 +/- 0.0106,0.1255 +/- 0.0128,0.0916 +/- 0.0209
MCAR,0.2,0.0674 +/- 0.0115,0.1928 +/- 0.0102,0.101 +/- 0.0177,0.1194 +/- 0.0171,0.141 +/- 0.0151,0.1181 +/- 0.0183
MCAR,0.3,0.0731 +/- 0.0149,0.1923 +/- 0.0092,0.1102 +/- 0.0202,0.1213 +/- 0.0201,0.1477 +/- 0.0101,0.1295 +/- 0.0109
MCAR,0.4,0.0885 +/- 0.0099,0.1955 +/- 0.0047,0.1274 +/- 0.0094,0.1336 +/- 0.0077,0.1583 +/- 0.0038,0.1308 +/- 0.0067
MCAR,0.5,0.0992 +/- 0.0098,0.1961 +/- 0.0092,0.137 +/- 0.0168,0.1408 +/- 0.0158,0.1732 +/- 0.0181,0.1351 +/- 0.0149
MNAR,0.1,0.0564 +/- 0.0131,0.1892 +/- 0.0187,0.0806 +/- 0.0256,0.101 +/- 0.0172,0.1393 +/- 0.0288,0.1032 +/- 0.0298
MNAR,0.2,0.0778 +/- 0.0165,0.1984 +/- 0.0161,0.1048 +/- 0.03,0.1206 +/- 0.0224,0.1544 +/- 0.0247,0.1279 +/- 0.0125
MNAR,0.3,0.0848 +/- 0.0178,0.1888 +/- 0.0081,0.112 +/- 0.0121,0.1186 +/- 0.0109,0.1481 +/- 0.0154,0.1191 +/- 0.0122
MNAR,0.4,0.0833 +/- 0.0052,0.1941 +/- 0.0062,0.1286 +/- 0.0164,0.1365 +/- 0.0131,0.1791 +/- 0.0085,0.1387 +/- 0.0087
MNAR,0.5,0.0951 +/- 0.0126,0.2012 +/- 0.0104,0.1794 +/- 0.0467,0.1375 +/- 0.0135,0.2575 +/- 0.0302,0.1364 +/- 0.0125
